type,run,year,Ne,year_meaning,Ne_meaning
bootstrap,run31,313,4360358,t_rec+1,nrec
bootstrap,run31,312,3776,t_rec+1,nalb
bootstrap,run31,92,3776,t_bot+1,nalb
bootstrap,run31,91,4942,t_bot,ncont
bootstrap,run31,0,4942,0,ncont
bootstrap,run32,1000000,692855,1000000,nhist
bootstrap,run32,619777,692855,t_exp+1,nhist
bootstrap,run32,619776,1201728864,t_exp,nrec
bootstrap,run32,259,1201728864,t_rec+1,nrec
bootstrap,run32,258,1301,t_rec+1,nalb
bootstrap,run32,96,1301,t_bot+1,nalb
bootstrap,run32,95,7482,t_bot,ncont
bootstrap,run32,0,7482,0,ncont
bootstrap,run33,1000000,678771,1000000,nhist
bootstrap,run33,648984,678771,t_exp+1,nhist
bootstrap,run33,648983,25627403,t_exp,nrec
bootstrap,run33,318,25627403,t_rec+1,nrec
bootstrap,run33,317,1994,t_rec+1,nalb
bootstrap,run33,69,1994,t_bot+1,nalb
bootstrap,run33,68,23273,t_bot,ncont
bootstrap,run33,0,23273,0,ncont
bootstrap,run34,1000000,604358,1000000,nhist
bootstrap,run34,999995,604358,t_exp+1,nhist
bootstrap,run34,999994,2009531,t_exp,nrec
bootstrap,run34,112,2009531,t_rec+1,nrec
bootstrap,run34,111,645056615,t_rec+1,nalb
bootstrap,run34,68,645056615,t_bot+1,nalb
bootstrap,run34,67,1925,t_bot,ncont
bootstrap,run34,0,1925,0,ncont
bootstrap,run35,1000000,667116,1000000,nhist
bootstrap,run35,697365,667116,t_exp+1,nhist
bootstrap,run35,697364,5346869,t_exp,nrec
bootstrap,run35,288,5346869,t_rec+1,nrec
bootstrap,run35,287,2695,t_rec+1,nalb
bootstrap,run35,89,2695,t_bot+1,nalb
bootstrap,run35,88,5236,t_bot,ncont
bootstrap,run35,0,5236,0,ncont
bootstrap,run36,1000000,671557,1000000,nhist
bootstrap,run36,754697,671557,t_exp+1,nhist
bootstrap,run36,754696,5174812,t_exp,nrec
bootstrap,run36,465,5174812,t_rec+1,nrec
bootstrap,run36,464,5529,t_rec+1,nalb
bootstrap,run36,10,5529,t_bot+1,nalb
bootstrap,run36,9,1427,t_bot,ncont
bootstrap,run36,0,1427,0,ncont
bootstrap,run37,1000000,672250,1000000,nhist
bootstrap,run37,685468,672250,t_exp+1,nhist
bootstrap,run37,685467,8061282,t_exp,nrec
bootstrap,run37,175,8061282,t_rec+1,nrec
bootstrap,run37,174,795,t_rec+1,nalb
bootstrap,run37,101,795,t_bot+1,nalb
bootstrap,run37,100,9182,t_bot,ncont
bootstrap,run37,0,9182,0,ncont
bootstrap,run38,1000000,670259,1000000,nhist
bootstrap,run38,644239,670259,t_exp+1,nhist
bootstrap,run38,644238,10000000000,t_exp,nrec
bootstrap,run38,305,10000000000,t_rec+1,nrec
bootstrap,run38,304,1674,t_rec+1,nalb
bootstrap,run38,75,1674,t_bot+1,nalb
bootstrap,run38,74,24659,t_bot,ncont
bootstrap,run38,0,24659,0,ncont
bootstrap,run39,1000000,686326,1000000,nhist
bootstrap,run39,631513,686326,t_exp+1,nhist
bootstrap,run39,631512,42561466,t_exp,nrec
bootstrap,run39,430,42561466,t_rec+1,nrec
bootstrap,run39,429,2981,t_rec+1,nalb
bootstrap,run39,77,2981,t_bot+1,nalb
bootstrap,run39,76,5807,t_bot,ncont
bootstrap,run39,0,5807,0,ncont
bootstrap,run40,1000000,699236,1000000,nhist
bootstrap,run40,659822,699236,t_exp+1,nhist
bootstrap,run40,659821,11969471,t_exp,nrec
bootstrap,run40,429,11969471,t_rec+1,nrec
bootstrap,run40,428,3482,t_rec+1,nalb
bootstrap,run40,25,3482,t_bot+1,nalb
bootstrap,run40,24,11214470,t_bot,ncont
bootstrap,run40,0,11214470,0,ncont
bootstrap,run41,1000000,682381,1000000,nhist
bootstrap,run41,673829,682381,t_exp+1,nhist
bootstrap,run41,673828,9420326,t_exp,nrec
bootstrap,run41,466,9420326,t_rec+1,nrec
bootstrap,run41,465,4141,t_rec+1,nalb
bootstrap,run41,13,4141,t_bot+1,nalb
bootstrap,run41,12,977178,t_bot,ncont
bootstrap,run41,0,977178,0,ncont
bootstrap,run42,1000000,693007,1000000,nhist
bootstrap,run42,619727,693007,t_exp+1,nhist
bootstrap,run42,619726,100600615,t_exp,nrec
bootstrap,run42,263,100600615,t_rec+1,nrec
bootstrap,run42,262,1371,t_rec+1,nalb
bootstrap,run42,92,1371,t_bot+1,nalb
bootstrap,run42,91,8906,t_bot,ncont
bootstrap,run42,0,8906,0,ncont
bootstrap,run43,1000000,690579,1000000,nhist
bootstrap,run43,637797,690579,t_exp+1,nhist
bootstrap,run43,637796,17405811,t_exp,nrec
bootstrap,run43,462,17405811,t_rec+1,nrec
bootstrap,run43,461,3624,t_rec+1,nalb
bootstrap,run43,26,3624,t_bot+1,nalb
bootstrap,run43,25,2062574313,t_bot,ncont
bootstrap,run43,0,2062574313,0,ncont
bootstrap,run44,1000000,683742,1000000,nhist
bootstrap,run44,628160,683742,t_exp+1,nhist
bootstrap,run44,628159,10000000000,t_exp,nrec
bootstrap,run44,429,10000000000,t_rec+1,nrec
bootstrap,run44,428,2789,t_rec+1,nalb
bootstrap,run44,72,2789,t_bot+1,nalb
bootstrap,run44,71,6928,t_bot,ncont
bootstrap,run44,0,6928,0,ncont
bootstrap,run45,1000000,691968,1000000,nhist
bootstrap,run45,617214,691968,t_exp+1,nhist
bootstrap,run45,617213,7093393452,t_exp,nrec
bootstrap,run45,461,7093393452,t_rec+1,nrec
bootstrap,run45,460,3114,t_rec+1,nalb
bootstrap,run45,100,3114,t_bot+1,nalb
bootstrap,run45,99,4560,t_bot,ncont
bootstrap,run45,0,4560,0,ncont
bootstrap,run46,1000000,672789,1000000,nhist
bootstrap,run46,999896,672789,t_exp+1,nhist
bootstrap,run46,999895,4100674,t_exp,nrec
bootstrap,run46,376,4100674,t_rec+1,nrec
bootstrap,run46,375,5270,t_rec+1,nalb
bootstrap,run46,24,5270,t_bot+1,nalb
bootstrap,run46,23,3006,t_bot,ncont
bootstrap,run46,0,3006,0,ncont
bootstrap,run47,1000000,683126,1000000,nhist
bootstrap,run47,631717,683126,t_exp+1,nhist
bootstrap,run47,631716,55812484,t_exp,nrec
bootstrap,run47,397,55812484,t_rec+1,nrec
bootstrap,run47,396,2645,t_rec+1,nalb
bootstrap,run47,100,2645,t_bot+1,nalb
bootstrap,run47,99,4868,t_bot,ncont
bootstrap,run47,0,4868,0,ncont
bootstrap,run48,1000000,687871,1000000,nhist
bootstrap,run48,691508,687871,t_exp+1,nhist
bootstrap,run48,691507,5667120,t_exp,nrec
bootstrap,run48,419,5667120,t_rec+1,nrec
bootstrap,run48,418,4535,t_rec+1,nalb
bootstrap,run48,66,4535,t_bot+1,nalb
bootstrap,run48,65,4314,t_bot,ncont
bootstrap,run48,0,4314,0,ncont
bootstrap,run49,1000000,681105,1000000,nhist
bootstrap,run49,652634,681105,t_exp+1,nhist
bootstrap,run49,652633,14157768,t_exp,nrec
bootstrap,run49,487,14157768,t_rec+1,nrec
bootstrap,run49,486,4051,t_rec+1,nalb
bootstrap,run49,28,4051,t_bot+1,nalb
bootstrap,run49,27,6023,t_bot,ncont
bootstrap,run49,0,6023,0,ncont
bootstrap,run50,1000000,686140,1000000,nhist
bootstrap,run50,612072,686140,t_exp+1,nhist
bootstrap,run50,612071,10000000000,t_exp,nrec
bootstrap,run50,405,10000000000,t_rec+1,nrec
bootstrap,run50,404,2630,t_rec+1,nalb
bootstrap,run50,96,2630,t_bot+1,nalb
bootstrap,run50,95,5092,t_bot,ncont
bootstrap,run50,0,5092,0,ncont
bootstrap,run51,1000000,684981,1000000,nhist
bootstrap,run51,669123,684981,t_exp+1,nhist
bootstrap,run51,669122,8487072,t_exp,nrec
bootstrap,run51,247,8487072,t_rec+1,nrec
bootstrap,run51,246,1672,t_rec+1,nalb
bootstrap,run51,83,1672,t_bot+1,nalb
bootstrap,run51,82,10744,t_bot,ncont
bootstrap,run51,0,10744,0,ncont
bootstrap,run52,1000000,671454,1000000,nhist
bootstrap,run52,714417,671454,t_exp+1,nhist
bootstrap,run52,714416,5612801,t_exp,nrec
bootstrap,run52,464,5612801,t_rec+1,nrec
bootstrap,run52,463,5234,t_rec+1,nalb
bootstrap,run52,26,5234,t_bot+1,nalb
bootstrap,run52,25,3540,t_bot,ncont
bootstrap,run52,0,3540,0,ncont
bootstrap,run53,1000000,680062,1000000,nhist
bootstrap,run53,692467,680062,t_exp+1,nhist
bootstrap,run53,692466,5634406,t_exp,nrec
bootstrap,run53,488,5634406,t_rec+1,nrec
bootstrap,run53,487,5582,t_rec+1,nalb
bootstrap,run53,71,5582,t_bot+1,nalb
bootstrap,run53,70,4226,t_bot,ncont
bootstrap,run53,0,4226,0,ncont
bootstrap,run54,1000000,669552,1000000,nhist
bootstrap,run54,755469,669552,t_exp+1,nhist
bootstrap,run54,755468,3920660,t_exp,nrec
bootstrap,run54,261,3920660,t_rec+1,nrec
bootstrap,run54,260,2974,t_rec+1,nalb
bootstrap,run54,43,2974,t_bot+1,nalb
bootstrap,run54,42,17038,t_bot,ncont
bootstrap,run54,0,17038,0,ncont
bootstrap,run55,1000000,641625,1000000,nhist
bootstrap,run55,782206,641625,t_exp+1,nhist
bootstrap,run55,782205,4197405,t_exp,nrec
bootstrap,run55,439,4197405,t_rec+1,nrec
bootstrap,run55,438,6207,t_rec+1,nalb
bootstrap,run55,44,6207,t_bot+1,nalb
bootstrap,run55,43,2980,t_bot,ncont
bootstrap,run55,0,2980,0,ncont
bootstrap,run56,1000000,682174,1000000,nhist
bootstrap,run56,639294,682174,t_exp+1,nhist
bootstrap,run56,639293,15666338,t_exp,nrec
bootstrap,run56,364,15666338,t_rec+1,nrec
bootstrap,run56,363,2701,t_rec+1,nalb
bootstrap,run56,48,2701,t_bot+1,nalb
bootstrap,run56,47,93929,t_bot,ncont
bootstrap,run56,0,93929,0,ncont
bootstrap,run57,1000000,679568,1000000,nhist
bootstrap,run57,659774,679568,t_exp+1,nhist
bootstrap,run57,659773,14489792,t_exp,nrec
bootstrap,run57,298,14489792,t_rec+1,nrec
bootstrap,run57,297,1970,t_rec+1,nalb
bootstrap,run57,68,1970,t_bot+1,nalb
bootstrap,run57,67,25788,t_bot,ncont
bootstrap,run57,0,25788,0,ncont
bootstrap,run58,1000000,693377,1000000,nhist
bootstrap,run58,625343,693377,t_exp+1,nhist
bootstrap,run58,625342,6945677430,t_exp,nrec
bootstrap,run58,481,6945677430,t_rec+1,nrec
bootstrap,run58,480,3219,t_rec+1,nalb
bootstrap,run58,101,3219,t_bot+1,nalb
bootstrap,run58,100,4516,t_bot,ncont
bootstrap,run58,0,4516,0,ncont
bootstrap,run59,1000000,703753,1000000,nhist
bootstrap,run59,596742,703753,t_exp+1,nhist
bootstrap,run59,596741,1967644747,t_exp,nrec
bootstrap,run59,235,1967644747,t_rec+1,nrec
bootstrap,run59,234,1118,t_rec+1,nalb
bootstrap,run59,100,1118,t_bot+1,nalb
bootstrap,run59,99,7013,t_bot,ncont
bootstrap,run59,0,7013,0,ncont
bootstrap,run60,1000000,677837,1000000,nhist
bootstrap,run60,640058,677837,t_exp+1,nhist
bootstrap,run60,640057,26355503,t_exp,nrec
bootstrap,run60,367,26355503,t_rec+1,nrec
bootstrap,run60,366,2525,t_rec+1,nalb
bootstrap,run60,79,2525,t_bot+1,nalb
bootstrap,run60,78,7532,t_bot,ncont
bootstrap,run60,0,7532,0,ncont
bootstrap,run61,1000000,675022,1000000,nhist
bootstrap,run61,659739,675022,t_exp+1,nhist
bootstrap,run61,659738,14557020,t_exp,nrec
bootstrap,run61,492,14557020,t_rec+1,nrec
bootstrap,run61,491,3997,t_rec+1,nalb
bootstrap,run61,98,3997,t_bot+1,nalb
bootstrap,run61,97,4585,t_bot,ncont
bootstrap,run61,0,4585,0,ncont
bootstrap,run62,1000000,676654,1000000,nhist
bootstrap,run62,975240,676654,t_exp+1,nhist
bootstrap,run62,975239,4193395,t_exp,nrec
bootstrap,run62,358,4193395,t_rec+1,nrec
bootstrap,run62,357,4619,t_rec+1,nalb
bootstrap,run62,15,4619,t_bot+1,nalb
bootstrap,run62,14,4284,t_bot,ncont
bootstrap,run62,0,4284,0,ncont
bootstrap,run63,1000000,568171,1000000,nhist
bootstrap,run63,677868,568171,t_exp+1,nhist
bootstrap,run63,677867,333638586,t_exp,nrec
bootstrap,run63,252,333638586,t_rec+1,nrec
bootstrap,run63,251,1139,t_rec+1,nalb
bootstrap,run63,89,1139,t_bot+1,nalb
bootstrap,run63,88,11991,t_bot,ncont
bootstrap,run63,0,11991,0,ncont
bootstrap,run64,1000000,678684,1000000,nhist
bootstrap,run64,644232,678684,t_exp+1,nhist
bootstrap,run64,644231,16070903,t_exp,nrec
bootstrap,run64,369,16070903,t_rec+1,nrec
bootstrap,run64,368,2725,t_rec+1,nalb
bootstrap,run64,44,2725,t_bot+1,nalb
bootstrap,run64,43,706187,t_bot,ncont
bootstrap,run64,0,706187,0,ncont
bootstrap,run65,1000000,672773,1000000,nhist
bootstrap,run65,669144,672773,t_exp+1,nhist
bootstrap,run65,669143,11367391,t_exp,nrec
bootstrap,run65,407,11367391,t_rec+1,nrec
bootstrap,run65,406,3286,t_rec+1,nalb
bootstrap,run65,31,3286,t_bot+1,nalb
bootstrap,run65,30,171657812,t_bot,ncont
bootstrap,run65,0,171657812,0,ncont
bootstrap,run66,1000000,5,1000000,nhist
bootstrap,run66,1000001,5,t_exp+1,nhist
bootstrap,run66,1000000,651193,t_exp,nrec
bootstrap,run66,177,651193,t_rec+1,nrec
bootstrap,run66,176,3355,t_rec+1,nalb
bootstrap,run66,99,3355,t_bot+1,nalb
bootstrap,run66,98,4567,t_bot,ncont
bootstrap,run66,0,4567,0,ncont
bootstrap,run67,1000000,684844,1000000,nhist
bootstrap,run67,644252,684844,t_exp+1,nhist
bootstrap,run67,644251,2516991533,t_exp,nrec
bootstrap,run67,400,2516991533,t_rec+1,nrec
bootstrap,run67,399,2479,t_rec+1,nalb
bootstrap,run67,97,2479,t_bot+1,nalb
bootstrap,run67,96,5055,t_bot,ncont
bootstrap,run67,0,5055,0,ncont
bootstrap,run68,1000000,697467,1000000,nhist
bootstrap,run68,626144,697467,t_exp+1,nhist
bootstrap,run68,626143,21813118,t_exp,nrec
bootstrap,run68,489,21813118,t_rec+1,nrec
bootstrap,run68,488,3808,t_rec+1,nalb
bootstrap,run68,81,3808,t_bot+1,nalb
bootstrap,run68,80,4842,t_bot,ncont
bootstrap,run68,0,4842,0,ncont
bootstrap,run69,1000000,686048,1000000,nhist
bootstrap,run69,659321,686048,t_exp+1,nhist
bootstrap,run69,659320,14661483,t_exp,nrec
bootstrap,run69,369,14661483,t_rec+1,nrec
bootstrap,run69,368,2674,t_rec+1,nalb
bootstrap,run69,85,2674,t_bot+1,nalb
bootstrap,run69,84,5527,t_bot,ncont
bootstrap,run69,0,5527,0,ncont
bootstrap,run70,1000000,666078,1000000,nhist
bootstrap,run70,999112,666078,t_exp+1,nhist
bootstrap,run70,999111,4151019,t_exp,nrec
bootstrap,run70,408,4151019,t_rec+1,nrec
bootstrap,run70,407,5806,t_rec+1,nalb
bootstrap,run70,97,5806,t_bot+1,nalb
bootstrap,run70,96,4382,t_bot,ncont
bootstrap,run70,0,4382,0,ncont
bootstrap,run71,1000000,686793,1000000,nhist
bootstrap,run71,621616,686793,t_exp+1,nhist
bootstrap,run71,621615,56803841,t_exp,nrec
bootstrap,run71,304,56803841,t_rec+1,nrec
bootstrap,run71,303,1789,t_rec+1,nalb
bootstrap,run71,96,1789,t_bot+1,nalb
