type,run,year,Ne,year_meaning,Ne_meaning
real,sample,1000000,688430,1000000,nhist
real,sample,633523,688430,t_exp+1,nhist
real,sample,633522,24749783,t_exp,nrec
real,sample,340,24749783,t_rec+1,nrec
real,sample,339,2258,t_rec+1,nalb
real,sample,80,2258,t_bot+1,nalb
real,sample,79,7455,t_bot,ncont
real,sample,0,7455,0,ncont
bootstrap,run1,1000000,671056,1000000,nhist
bootstrap,run1,999842,671056,t_exp+1,nhist
bootstrap,run1,999841,4255932,t_exp,nrec
bootstrap,run1,315,4255932,t_rec+1,nrec
bootstrap,run1,314,3951,t_rec+1,nalb
bootstrap,run1,47,3951,t_bot+1,nalb
bootstrap,run1,46,5032,t_bot,ncont
bootstrap,run1,0,5032,0,ncont
bootstrap,run2,1000000,698307,1000000,nhist
bootstrap,run2,612888,698307,t_exp+1,nhist
bootstrap,run2,612887,10000000000,t_exp,nrec
bootstrap,run2,304,10000000000,t_rec+1,nrec
bootstrap,run2,303,1689,t_rec+1,nalb
bootstrap,run2,79,1689,t_bot+1,nalb
bootstrap,run2,78,15471,t_bot,ncont
bootstrap,run2,0,15471,0,ncont
bootstrap,run3,1000000,686639,1000000,nhist
bootstrap,run3,666926,686639,t_exp+1,nhist
bootstrap,run3,666925,9614137,t_exp,nrec
bootstrap,run3,501,9614137,t_rec+1,nrec
bootstrap,run3,500,4568,t_rec+1,nalb
bootstrap,run3,1,4568,t_bot+1,nalb
bootstrap,run3,0,19541,t_bot,ncont
bootstrap,run3,0,19541,0,ncont
bootstrap,run4,1000000,683819,1000000,nhist
bootstrap,run4,628287,683819,t_exp+1,nhist
bootstrap,run4,628286,32500268,t_exp,nrec
bootstrap,run4,302,32500268,t_rec+1,nrec
bootstrap,run4,301,1834,t_rec+1,nalb
bootstrap,run4,70,1834,t_bot+1,nalb
bootstrap,run4,69,126783,t_bot,ncont
bootstrap,run4,0,126783,0,ncont
bootstrap,run5,1000000,666442,1000000,nhist
bootstrap,run5,999842,666442,t_exp+1,nhist
bootstrap,run5,999841,3996258,t_exp,nrec
bootstrap,run5,490,3996258,t_rec+1,nrec
bootstrap,run5,489,7692,t_rec+1,nalb
bootstrap,run5,35,7692,t_bot+1,nalb
bootstrap,run5,34,2346,t_bot,ncont
bootstrap,run5,0,2346,0,ncont
bootstrap,run6,1000000,657927,1000000,nhist
bootstrap,run6,738353,657927,t_exp+1,nhist
bootstrap,run6,738352,5148113,t_exp,nrec
bootstrap,run6,393,5148113,t_rec+1,nrec
bootstrap,run6,392,4304,t_rec+1,nalb
bootstrap,run6,56,4304,t_bot+1,nalb
bootstrap,run6,55,4932,t_bot,ncont
bootstrap,run6,0,4932,0,ncont
bootstrap,run7,1000000,663906,1000000,nhist
bootstrap,run7,1000001,663906,t_exp+1,nhist
bootstrap,run7,1000000,4017857,t_exp,nrec
bootstrap,run7,310,4017857,t_rec+1,nrec
bootstrap,run7,309,3966,t_rec+1,nalb
bootstrap,run7,32,3966,t_bot+1,nalb
bootstrap,run7,31,5650,t_bot,ncont
bootstrap,run7,0,5650,0,ncont
bootstrap,run8,1000000,694220,1000000,nhist
bootstrap,run8,620031,694220,t_exp+1,nhist
bootstrap,run8,620030,33333147,t_exp,nrec
bootstrap,run8,290,33333147,t_rec+1,nrec
bootstrap,run8,289,1737,t_rec+1,nalb
bootstrap,run8,69,1737,t_bot+1,nalb
bootstrap,run8,68,70197,t_bot,ncont
bootstrap,run8,0,70197,0,ncont
bootstrap,run9,1000000,690743,1000000,nhist
bootstrap,run9,636728,690743,t_exp+1,nhist
bootstrap,run9,636727,18792128,t_exp,nrec
bootstrap,run9,262,18792128,t_rec+1,nrec
bootstrap,run9,261,1530,t_rec+1,nalb
bootstrap,run9,97,1530,t_bot+1,nalb
bootstrap,run9,96,6378,t_bot,ncont
bootstrap,run9,0,6378,0,ncont
bootstrap,run10,1000000,669118,1000000,nhist
bootstrap,run10,1000001,669118,t_exp+1,nhist
bootstrap,run10,1000000,4114215,t_exp,nrec
bootstrap,run10,377,4114215,t_rec+1,nrec
bootstrap,run10,376,5218,t_rec+1,nalb
bootstrap,run10,50,5218,t_bot+1,nalb
bootstrap,run10,49,3621,t_bot,ncont
bootstrap,run10,0,3621,0,ncont
bootstrap,run11,1000000,653226,1000000,nhist
bootstrap,run11,806621,653226,t_exp+1,nhist
bootstrap,run11,806620,5213990,t_exp,nrec
bootstrap,run11,395,5213990,t_rec+1,nrec
bootstrap,run11,394,4311,t_rec+1,nalb
bootstrap,run11,41,4311,t_bot+1,nalb
bootstrap,run11,40,4477,t_bot,ncont
bootstrap,run11,0,4477,0,ncont
bootstrap,run12,1000000,677181,1000000,nhist
bootstrap,run12,638887,677181,t_exp+1,nhist
bootstrap,run12,638886,20470305,t_exp,nrec
bootstrap,run12,312,20470305,t_rec+1,nrec
bootstrap,run12,311,2053,t_rec+1,nalb
bootstrap,run12,64,2053,t_bot+1,nalb
bootstrap,run12,63,35034,t_bot,ncont
bootstrap,run12,0,35034,0,ncont
bootstrap,run13,1000000,692041,1000000,nhist
bootstrap,run13,613221,692041,t_exp+1,nhist
bootstrap,run13,613220,887549289,t_exp,nrec
bootstrap,run13,501,887549289,t_rec+1,nrec
bootstrap,run13,500,3499,t_rec+1,nalb
bootstrap,run13,92,3499,t_bot+1,nalb
bootstrap,run13,91,4680,t_bot,ncont
bootstrap,run13,0,4680,0,ncont
bootstrap,run14,1000000,681411,1000000,nhist
bootstrap,run14,624400,681411,t_exp+1,nhist
bootstrap,run14,624399,1.00E+10,t_exp,nrec
bootstrap,run14,302,1.00E+10,t_rec+1,nrec
bootstrap,run14,301,1687,t_rec+1,nalb
bootstrap,run14,94,1687,t_bot+1,nalb
bootstrap,run14,93,6549,t_bot,ncont
bootstrap,run14,0,6549,0,ncont
bootstrap,run15,1000000,689026,1000000,nhist
bootstrap,run15,652613,689026,t_exp+1,nhist
bootstrap,run15,652612,10013376,t_exp,nrec
bootstrap,run15,492,10013376,t_rec+1,nrec
bootstrap,run15,491,4470,t_rec+1,nalb
bootstrap,run15,10,4470,t_bot+1,nalb
bootstrap,run15,9,5414,t_bot,ncont
bootstrap,run15,0,5414,0,ncont
bootstrap,run16,1000000,677243,1000000,nhist
bootstrap,run16,653698,677243,t_exp+1,nhist
bootstrap,run16,653697,10175186,t_exp,nrec
bootstrap,run16,379,10175186,t_rec+1,nrec
bootstrap,run16,378,3150,t_rec+1,nalb
bootstrap,run16,38,3150,t_bot+1,nalb
bootstrap,run16,37,34111,t_bot,ncont
bootstrap,run16,0,34111,0,ncont
bootstrap,run17,1000000,702045,1000000,nhist
bootstrap,run17,608975,702045,t_exp+1,nhist
bootstrap,run17,608974,25288612,t_exp,nrec
bootstrap,run17,257,25288612,t_rec+1,nrec
bootstrap,run17,256,1458,t_rec+1,nalb
bootstrap,run17,87,1458,t_bot+1,nalb
bootstrap,run17,86,12338,t_bot,ncont
bootstrap,run17,0,12338,0,ncont
bootstrap,run18,1000000,654627,1000000,nhist
bootstrap,run18,1000001,654627,t_exp+1,nhist
bootstrap,run18,1000000,4134428,t_exp,nrec
bootstrap,run18,226,4134428,t_rec+1,nrec
bootstrap,run18,225,2194,t_rec+1,nalb
bootstrap,run18,67,2194,t_bot+1,nalb
bootstrap,run18,66,14224,t_bot,ncont
bootstrap,run18,0,14224,0,ncont
bootstrap,run19,1000000,672807,1000000,nhist
bootstrap,run19,994995,672807,t_exp+1,nhist
bootstrap,run19,994994,4058752,t_exp,nrec
bootstrap,run19,284,4058752,t_rec+1,nrec
bootstrap,run19,283,3304,t_rec+1,nalb
bootstrap,run19,60,3304,t_bot+1,nalb
bootstrap,run19,59,8147,t_bot,ncont
bootstrap,run19,0,8147,0,ncont
bootstrap,run20,1000000,671536,1000000,nhist
bootstrap,run20,650717,671536,t_exp+1,nhist
bootstrap,run20,650716,14002563,t_exp,nrec
bootstrap,run20,464,14002563,t_rec+1,nrec
bootstrap,run20,463,3779,t_rec+1,nalb
bootstrap,run20,57,3779,t_bot+1,nalb
bootstrap,run20,56,5524,t_bot,ncont
bootstrap,run20,0,5524,0,ncont
bootstrap,run21,1000000,686571,1000000,nhist
bootstrap,run21,645324,686571,t_exp+1,nhist
bootstrap,run21,645323,11565997,t_exp,nrec
bootstrap,run21,254,11565997,t_rec+1,nrec
bootstrap,run21,253,1625,t_rec+1,nalb
bootstrap,run21,74,1625,t_bot+1,nalb
bootstrap,run21,73,60358,t_bot,ncont
bootstrap,run21,0,60358,0,ncont
bootstrap,run22,1000000,678137,1000000,nhist
bootstrap,run22,639901,678137,t_exp+1,nhist
bootstrap,run22,639900,22744331,t_exp,nrec
bootstrap,run22,431,22744331,t_rec+1,nrec
bootstrap,run22,430,3186,t_rec+1,nalb
bootstrap,run22,34,3186,t_bot+1,nalb
bootstrap,run22,33,322924,t_bot,ncont
bootstrap,run22,0,322924,0,ncont
bootstrap,run23,1000000,688126,1000000,nhist
bootstrap,run23,626226,688126,t_exp+1,nhist
bootstrap,run23,626225,42254942,t_exp,nrec
bootstrap,run23,411,42254942,t_rec+1,nrec
bootstrap,run23,410,2811,t_rec+1,nalb
bootstrap,run23,50,2811,t_bot+1,nalb
bootstrap,run23,49,24572,t_bot,ncont
bootstrap,run23,0,24572,0,ncont
bootstrap,run24,1000000,684000,1000000,nhist
bootstrap,run24,647037,684000,t_exp+1,nhist
bootstrap,run24,647036,16278352,t_exp,nrec
bootstrap,run24,322,16278352,t_rec+1,nrec
bootstrap,run24,321,2175,t_rec+1,nalb
bootstrap,run24,92,2175,t_bot+1,nalb
bootstrap,run24,91,6028,t_bot,ncont
bootstrap,run24,0,6028,0,ncont
bootstrap,run25,1000000,656608,1000000,nhist
bootstrap,run25,780371,656608,t_exp+1,nhist
bootstrap,run25,780370,4384404,t_exp,nrec
bootstrap,run25,333,4384404,t_rec+1,nrec
bootstrap,run25,332,4158,t_rec+1,nalb
bootstrap,run25,9,4158,t_bot+1,nalb
bootstrap,run25,8,3949,t_bot,ncont
bootstrap,run25,0,3949,0,ncont
bootstrap,run26,1000000,673243,1000000,nhist
bootstrap,run26,658127,673243,t_exp+1,nhist
bootstrap,run26,658126,11589155,t_exp,nrec
bootstrap,run26,346,11589155,t_rec+1,nrec
bootstrap,run26,345,2657,t_rec+1,nalb
bootstrap,run26,51,2657,t_bot+1,nalb
bootstrap,run26,50,26121,t_bot,ncont
bootstrap,run26,0,26121,0,ncont
bootstrap,run27,1000000,690090,1000000,nhist
bootstrap,run27,631133,690090,t_exp+1,nhist
bootstrap,run27,631132,18889472,t_exp,nrec
bootstrap,run27,234,18889472,t_rec+1,nrec
bootstrap,run27,233,1078,t_rec+1,nalb
bootstrap,run27,101,1078,t_bot+1,nalb
bootstrap,run27,100,6822,t_bot,ncont
bootstrap,run27,0,6822,0,ncont
bootstrap,run28,1000000,684956,1000000,nhist
bootstrap,run28,628914,684956,t_exp+1,nhist
bootstrap,run28,628913,8309118381,t_exp,nrec
bootstrap,run28,358,8309118381,t_rec+1,nrec
bootstrap,run28,357,2156,t_rec+1,nalb
bootstrap,run28,59,2156,t_bot+1,nalb
bootstrap,run28,58,4361273,t_bot,ncont
bootstrap,run28,0,4361273,0,ncont
bootstrap,run29,1000000,692006,1000000,nhist
bootstrap,run29,609595,692006,t_exp+1,nhist
bootstrap,run29,609594,8355821587,t_exp,nrec
bootstrap,run29,416,8355821587,t_rec+1,nrec
bootstrap,run29,415,2750,t_rec+1,nalb
bootstrap,run29,60,2750,t_bot+1,nalb
bootstrap,run29,59,10802,t_bot,ncont
bootstrap,run29,0,10802,0,ncont
bootstrap,run30,1000000,697213,1000000,nhist
bootstrap,run30,733630,697213,t_exp+1,nhist
bootstrap,run30,733629,4262251,t_exp,nrec
bootstrap,run30,406,4262251,t_rec+1,nrec
bootstrap,run30,405,2487,t_rec+1,nalb
bootstrap,run30,74,2487,t_bot+1,nalb
bootstrap,run30,73,4945,t_bot,ncont
bootstrap,run30,0,4945,0,ncont
bootstrap,run31,1000000,664077,1000000,nhist
bootstrap,run31,756850,664077,t_exp+1,nhist
bootstrap,run31,756849,4360358,t_exp,nrec
