type,run,year,Ne,year_meaning,Ne_meaning
real,sample,1000000,94801,1000000,nhist
real,sample,112549,94801,t_exp+1,nhist
real,sample,112548,6097877,t_exp,nalb
real,sample,76,6097877,t_bot+1,nalb
real,sample,75,61,t_bot,ncont
real,sample,0,61,0,ncont
bootstrap,run1,1000000,96341,1000000,nhist
bootstrap,run1,108073,96341,t_exp+1,nhist
bootstrap,run1,108072,14536140,t_exp,nalb
bootstrap,run1,83,14536140,t_bot+1,nalb
bootstrap,run1,82,56,t_bot,ncont
bootstrap,run1,0,56,0,ncont
bootstrap,run2,1000000,98002,1000000,nhist
bootstrap,run2,99481,98002,t_exp+1,nhist
bootstrap,run2,99480,19851325,t_exp,nalb
bootstrap,run2,7,19851325,t_bot+1,nalb
bootstrap,run2,6,3,t_bot,ncont
bootstrap,run2,0,3,0,ncont
bootstrap,run3,1000000,93846,1000000,nhist
bootstrap,run3,122384,93846,t_exp+1,nhist
bootstrap,run3,122383,2920398,t_exp,nalb
bootstrap,run3,100,2920398,t_bot+1,nalb
bootstrap,run3,99,98,t_bot,ncont
bootstrap,run3,0,98,0,ncont
bootstrap,run4,1000000,96257,1000000,nhist
bootstrap,run4,90264,96257,t_exp+1,nhist
bootstrap,run4,90263,10000000000,t_exp,nalb
bootstrap,run4,82,10000000000,t_bot+1,nalb
bootstrap,run4,81,33,t_bot,ncont
bootstrap,run4,0,33,0,ncont
bootstrap,run5,1000000,94267,1000000,nhist
bootstrap,run5,107274,94267,t_exp+1,nhist
bootstrap,run5,107273,16636555,t_exp,nalb
bootstrap,run5,38,16636555,t_bot+1,nalb
bootstrap,run5,37,24,t_bot,ncont
bootstrap,run5,0,24,0,ncont
bootstrap,run6,1000000,97046,1000000,nhist
bootstrap,run6,108084,97046,t_exp+1,nhist
bootstrap,run6,108083,6408694,t_exp,nalb
bootstrap,run6,85,6408694,t_bot+1,nalb
bootstrap,run6,84,70,t_bot,ncont
bootstrap,run6,0,70,0,ncont
bootstrap,run7,1000000,96216,1000000,nhist
bootstrap,run7,118568,96216,t_exp+1,nhist
bootstrap,run7,118567,3117469,t_exp,nalb
bootstrap,run7,77,3117469,t_bot+1,nalb
bootstrap,run7,76,72,t_bot,ncont
bootstrap,run7,0,72,0,ncont
bootstrap,run8,1000000,95041,1000000,nhist
bootstrap,run8,108747,95041,t_exp+1,nhist
bootstrap,run8,108746,7408674,t_exp,nalb
bootstrap,run8,73,7408674,t_bot+1,nalb
bootstrap,run8,72,57,t_bot,ncont
bootstrap,run8,0,57,0,ncont
bootstrap,run9,1000000,90643,1000000,nhist
bootstrap,run9,131259,90643,t_exp+1,nhist
bootstrap,run9,131258,2497223,t_exp,nalb
bootstrap,run9,68,2497223,t_bot+1,nalb
bootstrap,run9,67,64,t_bot,ncont
bootstrap,run9,0,64,0,ncont
bootstrap,run10,1000000,97950,1000000,nhist
bootstrap,run10,90782,97950,t_exp+1,nhist
bootstrap,run10,90781,915772183,t_exp,nalb
bootstrap,run10,70,915772183,t_bot+1,nalb
bootstrap,run10,69,33,t_bot,ncont
bootstrap,run10,0,33,0,ncont
bootstrap,run11,1000000,92280,1000000,nhist
bootstrap,run11,128720,92280,t_exp+1,nhist
bootstrap,run11,128719,2649764,t_exp,nalb
bootstrap,run11,30,2649764,t_bot+1,nalb
bootstrap,run11,29,25,t_bot,ncont
bootstrap,run11,0,25,0,ncont
bootstrap,run12,1000000,96464,1000000,nhist
bootstrap,run12,94754,96464,t_exp+1,nhist
bootstrap,run12,94753,222734115,t_exp,nalb
bootstrap,run12,63,222734115,t_bot+1,nalb
bootstrap,run12,62,33,t_bot,ncont
bootstrap,run12,0,33,0,ncont
bootstrap,run13,1000000,96810,1000000,nhist
bootstrap,run13,96311,96810,t_exp+1,nhist
bootstrap,run13,96310,227254215,t_exp,nalb
bootstrap,run13,36,227254215,t_bot+1,nalb
bootstrap,run13,35,17,t_bot,ncont
bootstrap,run13,0,17,0,ncont
bootstrap,run14,1000000,92425,1000000,nhist
bootstrap,run14,117848,92425,t_exp+1,nhist
bootstrap,run14,117847,4769960,t_exp,nalb
bootstrap,run14,79,4769960,t_bot+1,nalb
bootstrap,run14,78,67,t_bot,ncont
bootstrap,run14,0,67,0,ncont
bootstrap,run15,1000000,93406,1000000,nhist
bootstrap,run15,128265,93406,t_exp+1,nhist
bootstrap,run15,128264,2545982,t_exp,nalb
bootstrap,run15,55,2545982,t_bot+1,nalb
bootstrap,run15,54,51,t_bot,ncont
bootstrap,run15,0,51,0,ncont
bootstrap,run16,1000000,96229,1000000,nhist
bootstrap,run16,97009,96229,t_exp+1,nhist
bootstrap,run16,97008,170194386,t_exp,nalb
bootstrap,run16,9,170194386,t_bot+1,nalb
bootstrap,run16,8,4,t_bot,ncont
bootstrap,run16,0,4,0,ncont
