type,run,year,Ne,year_meaning,Ne_meaning
real,sample,1000000,804749,1000000,nhist
real,sample,99890,804749,t_exp+1,nhist
real,sample,99889,10000000000,t_exp,ncont
real,sample,0,10000000000,0,ncont
bootstrap,run1,1000000,805586,1000000,nhist
bootstrap,run1,99890,805586,t_exp+1,nhist
bootstrap,run1,99889,10000000000,t_exp,ncont
bootstrap,run1,0,10000000000,0,ncont
bootstrap,run2,1000000,806628,1000000,nhist
bootstrap,run2,99341,806628,t_exp+1,nhist
bootstrap,run2,99340,10000000000,t_exp,ncont
bootstrap,run2,0,10000000000,0,ncont
bootstrap,run3,1000000,893279,1000000,nhist
bootstrap,run3,9967,893279,t_exp+1,nhist
bootstrap,run3,9966,977453649,t_exp,ncont
bootstrap,run3,0,977453649,0,ncont
bootstrap,run4,1000000,797018,1000000,nhist
bootstrap,run4,99891,797018,t_exp+1,nhist
bootstrap,run4,99890,10000000000,t_exp,ncont
bootstrap,run4,0,10000000000,0,ncont
bootstrap,run5,1000000,799917,1000000,nhist
bootstrap,run5,99891,799917,t_exp+1,nhist
bootstrap,run5,99890,10000000000,t_exp,ncont
bootstrap,run5,0,10000000000,0,ncont
bootstrap,run6,1000000,812015,1000000,nhist
bootstrap,run6,99888,812015,t_exp+1,nhist
bootstrap,run6,99887,10000000000,t_exp,ncont
bootstrap,run6,0,10000000000,0,ncont
bootstrap,run7,1000000,811629,1000000,nhist
bootstrap,run7,99834,811629,t_exp+1,nhist
bootstrap,run7,99833,10000000000,t_exp,ncont
bootstrap,run7,0,10000000000,0,ncont
bootstrap,run8,1000000,814665,1000000,nhist
bootstrap,run8,99881,814665,t_exp+1,nhist
bootstrap,run8,99880,10000000000,t_exp,ncont
bootstrap,run8,0,10000000000,0,ncont
bootstrap,run9,1000000,809609,1000000,nhist
bootstrap,run9,99846,809609,t_exp+1,nhist
bootstrap,run9,99845,10000000000,t_exp,ncont
bootstrap,run9,0,10000000000,0,ncont
bootstrap,run10,1000000,798480,1000000,nhist
bootstrap,run10,99891,798480,t_exp+1,nhist
bootstrap,run10,99890,10000000000,t_exp,ncont
bootstrap,run10,0,10000000000,0,ncont
bootstrap,run11,1000000,803188,1000000,nhist
