type,run,year,Ne,year_meaning,Ne_meaning
real,sample,1000000,71209,1000000,nhist
real,sample,999888,71209,t_exp+1,nhist
real,sample,999887,123885246,t_exp,nrec
real,sample,11,123885246,t_rec+1,nrec
real,sample,10,86,t_rec,ncont
real,sample,0,86,0,ncont
bootstrap,run1,1000000,65872,1000000,nhist
bootstrap,run1,99867,65872,t_exp+1,nhist
bootstrap,run1,99866,10000000000,t_exp,nrec
bootstrap,run1,81,10000000000,t_rec+1,nrec
bootstrap,run1,80,653,t_rec,ncont
bootstrap,run1,0,653,0,ncont
bootstrap,run2,1000000,74306,1000000,nhist
bootstrap,run2,99877,74306,t_exp+1,nhist
bootstrap,run2,99876,54437052,t_exp,nrec
bootstrap,run2,165,54437052,t_rec+1,nrec
bootstrap,run2,164,1431,t_rec,ncont
bootstrap,run2,0,1431,0,ncont
bootstrap,run3,1000000,68409,1000000,nhist
bootstrap,run3,99891,68409,t_exp+1,nhist
bootstrap,run3,99890,995244832,t_exp,nrec
bootstrap,run3,219,995244832,t_rec+1,nrec
bootstrap,run3,218,1920,t_rec,ncont
bootstrap,run3,0,1920,0,ncont
bootstrap,run4,1000000,70319,1000000,nhist
bootstrap,run4,99891,70319,t_exp+1,nhist
bootstrap,run4,99890,10000000000,t_exp,nrec
bootstrap,run4,342,10000000000,t_rec+1,nrec
bootstrap,run4,341,2944,t_rec,ncont
bootstrap,run4,0,2944,0,ncont
bootstrap,run5,1000000,74854,1000000,nhist
bootstrap,run5,99878,74854,t_exp+1,nhist
bootstrap,run5,99877,2617765,t_exp,nrec
bootstrap,run5,6,2617765,t_rec+1,nrec
bootstrap,run5,5,54,t_rec,ncont
bootstrap,run5,0,54,0,ncont
bootstrap,run6,1000000,68767,1000000,nhist
bootstrap,run6,99891,68767,t_exp+1,nhist
bootstrap,run6,99890,952431932,t_exp,nrec
bootstrap,run6,360,952431932,t_rec+1,nrec
bootstrap,run6,359,3029,t_rec,ncont
bootstrap,run6,0,3029,0,ncont
bootstrap,run7,1000000,74315,1000000,nhist
bootstrap,run7,99619,74315,t_exp+1,nhist
bootstrap,run7,99618,57808339,t_exp,nrec
bootstrap,run7,3,57808339,t_rec+1,nrec
bootstrap,run7,2,16,t_rec,ncont
bootstrap,run7,0,16,0,ncont
bootstrap,run8,1000000,63164,1000000,nhist
bootstrap,run8,99891,63164,t_exp+1,nhist
bootstrap,run8,99890,2973352929,t_exp,nrec
bootstrap,run8,91,2973352929,t_rec+1,nrec
bootstrap,run8,90,741,t_rec,ncont
bootstrap,run8,0,741,0,ncont
bootstrap,run9,1000000,67899,1000000,nhist
bootstrap,run9,99877,67899,t_exp+1,nhist
bootstrap,run9,99876,1044268,t_exp,nrec
bootstrap,run9,1,1044268,t_rec+1,nrec
bootstrap,run9,0,1,t_rec,ncont
bootstrap,run9,0,1,0,ncont
bootstrap,run10,1000000,68620,1000000,nhist
bootstrap,run10,99891,68620,t_exp+1,nhist
bootstrap,run10,99890,1273365,t_exp,nrec
bootstrap,run10,32,1273365,t_rec+1,nrec
bootstrap,run10,31,370,t_rec,ncont
bootstrap,run10,0,370,0,ncont
bootstrap,run11,1000000,73221,1000000,nhist
bootstrap,run11,99842,73221,t_exp+1,nhist
bootstrap,run11,99841,285754561,t_exp,nrec
bootstrap,run11,118,285754561,t_rec+1,nrec
bootstrap,run11,117,1035,t_rec,ncont
bootstrap,run11,0,1035,0,ncont
bootstrap,run12,1000000,67339,1000000,nhist
bootstrap,run12,99861,67339,t_exp+1,nhist
bootstrap,run12,99860,7474124412,t_exp,nrec
bootstrap,run12,218,7474124412,t_rec+1,nrec
bootstrap,run12,217,1902,t_rec,ncont
bootstrap,run12,0,1902,0,ncont
bootstrap,run13,1000000,68789,1000000,nhist
bootstrap,run13,99863,68789,t_exp+1,nhist
bootstrap,run13,99862,8754139,t_exp,nrec
bootstrap,run13,201,8754139,t_rec+1,nrec
bootstrap,run13,200,1789,t_rec,ncont
bootstrap,run13,0,1789,0,ncont
bootstrap,run14,1000000,74845,1000000,nhist
bootstrap,run14,99891,74845,t_exp+1,nhist
bootstrap,run14,99890,10000000000,t_exp,nrec
bootstrap,run14,158,10000000000,t_rec+1,nrec
bootstrap,run14,157,1385,t_rec,ncont
bootstrap,run14,0,1385,0,ncont
bootstrap,run15,1000000,69324,1000000,nhist
bootstrap,run15,99584,69324,t_exp+1,nhist
bootstrap,run15,99583,2643516946,t_exp,nrec
bootstrap,run15,212,2643516946,t_rec+1,nrec
bootstrap,run15,211,1705,t_rec,ncont
bootstrap,run15,0,1705,0,ncont
bootstrap,run16,1000000,67970,1000000,nhist
bootstrap,run16,99891,67970,t_exp+1,nhist
bootstrap,run16,99890,10000000000,t_exp,nrec
bootstrap,run16,176,10000000000,t_rec+1,nrec
bootstrap,run16,175,1507,t_rec,ncont
bootstrap,run16,0,1507,0,ncont
bootstrap,run17,1000000,71466,1000000,nhist
bootstrap,run17,99827,71466,t_exp+1,nhist
bootstrap,run17,99826,1769887,t_exp,nrec
bootstrap,run17,18,1769887,t_rec+1,nrec
bootstrap,run17,17,194,t_rec,ncont
bootstrap,run17,0,194,0,ncont
bootstrap,run18,1000000,68103,1000000,nhist
bootstrap,run18,61220,68103,t_exp+1,nhist
bootstrap,run18,61219,309705,t_exp,nrec
