type,run,year,Ne,year_meaning,Ne_meaning
real,sample,1000000,8800,1000000,nhist
real,sample,26726,8800,t_exp+1,nhist
real,sample,26725,2797632,t_exp,nalb
real,sample,82,2797632,t_bot+1,nalb
real,sample,81,79,t_bot,ncont
real,sample,0,79,0,ncont
bootstrap,run1,1000000,8355,1000000,nhist
bootstrap,run1,27599,8355,t_exp+1,nhist
bootstrap,run1,27598,2431527,t_exp,nalb
bootstrap,run1,59,2431527,t_bot+1,nalb
bootstrap,run1,58,57,t_bot,ncont
bootstrap,run1,0,57,0,ncont
bootstrap,run2,1000000,9178,1000000,nhist
bootstrap,run2,27743,9178,t_exp+1,nhist
bootstrap,run2,27742,1495629,t_exp,nalb
bootstrap,run2,50,1495629,t_bot+1,nalb
bootstrap,run2,49,54,t_bot,ncont
bootstrap,run2,0,54,0,ncont
bootstrap,run3,1000000,8978,1000000,nhist
bootstrap,run3,24178,8978,t_exp+1,nhist
bootstrap,run3,24177,11556992,t_exp,nalb
bootstrap,run3,75,11556992,t_bot+1,nalb
bootstrap,run3,74,60,t_bot,ncont
bootstrap,run3,0,60,0,ncont
bootstrap,run4,1000000,7969,1000000,nhist
bootstrap,run4,29479,7969,t_exp+1,nhist
bootstrap,run4,29478,1395206,t_exp,nalb
bootstrap,run4,32,1395206,t_bot+1,nalb
bootstrap,run4,31,31,t_bot,ncont
bootstrap,run4,0,31,0,ncont
bootstrap,run5,1000000,8013,1000000,nhist
bootstrap,run5,28896,8013,t_exp+1,nhist
bootstrap,run5,28895,1383603,t_exp,nalb
bootstrap,run5,39,1383603,t_bot+1,nalb
bootstrap,run5,38,41,t_bot,ncont
bootstrap,run5,0,41,0,ncont
bootstrap,run6,1000000,330,1000000,nhist
bootstrap,run6,95240,330,t_exp+1,nhist
bootstrap,run6,95239,179614,t_exp,nalb
bootstrap,run6,12,179614,t_bot+1,nalb
bootstrap,run6,11,24,t_bot,ncont
bootstrap,run6,0,24,0,ncont
bootstrap,run7,1000000,8879,1000000,nhist
bootstrap,run7,26446,8879,t_exp+1,nhist
bootstrap,run7,26445,2492123,t_exp,nalb
bootstrap,run7,33,2492123,t_bot+1,nalb
bootstrap,run7,32,29,t_bot,ncont
bootstrap,run7,0,29,0,ncont
bootstrap,run8,1000000,9051,1000000,nhist
bootstrap,run8,22050,9051,t_exp+1,nhist
bootstrap,run8,22049,10000000000,t_exp,nalb
bootstrap,run8,56,10000000000,t_bot+1,nalb
bootstrap,run8,55,24,t_bot,ncont
bootstrap,run8,0,24,0,ncont
bootstrap,run9,1000000,8938,1000000,nhist
bootstrap,run9,26037,8938,t_exp+1,nhist
bootstrap,run9,26036,3031951,t_exp,nalb
bootstrap,run9,27,3031951,t_bot+1,nalb
bootstrap,run9,26,23,t_bot,ncont
bootstrap,run9,0,23,0,ncont
