type,run,year,Ne,year_meaning,Ne_meaning
real,sample,1000000,67528,1000000,nhist
real,sample,153113,67528,t_exp+1,nhist
real,sample,153112,1325910,t_exp,nrec
real,sample,500,1325910,t_rec+1,nrec
real,sample,499,5083,t_rec+1,nalb
real,sample,101,5083,t_bot+1,nalb
real,sample,100,10000000000,t_bot,ncont
real,sample,0,10000000000,0,ncont
bootstrap,run1,1000000,1,1000000,nhist
bootstrap,run1,689525,1,t_exp+1,nhist
bootstrap,run1,689524,826616,t_exp,nrec
bootstrap,run1,501,826616,t_rec+1,nrec
bootstrap,run1,500,22800,t_rec+1,nalb
bootstrap,run1,101,22800,t_bot+1,nalb
bootstrap,run1,100,10000000000,t_bot,ncont
bootstrap,run1,0,10000000000,0,ncont
bootstrap,run2,1000000,64192,1000000,nhist
bootstrap,run2,165772,64192,t_exp+1,nhist
bootstrap,run2,165771,921014,t_exp,nrec
bootstrap,run2,498,921014,t_rec+1,nrec
bootstrap,run2,497,6100,t_rec+1,nalb
bootstrap,run2,101,6100,t_bot+1,nalb
bootstrap,run2,100,109113884,t_bot,ncont
bootstrap,run2,0,109113884,0,ncont
bootstrap,run3,1000000,66045,1000000,nhist
bootstrap,run3,152794,66045,t_exp+1,nhist
bootstrap,run3,152793,1102823,t_exp,nrec
bootstrap,run3,482,1102823,t_rec+1,nrec
bootstrap,run3,481,5882,t_rec+1,nalb
bootstrap,run3,101,5882,t_bot+1,nalb
bootstrap,run3,100,10000000000,t_bot,ncont
bootstrap,run3,0,10000000000,0,ncont
bootstrap,run4,1000000,70448,1000000,nhist
bootstrap,run4,140906,70448,t_exp+1,nhist
bootstrap,run4,140905,5113592,t_exp,nrec
bootstrap,run4,468,5113592,t_rec+1,nrec
bootstrap,run4,467,3385,t_rec+1,nalb
bootstrap,run4,101,3385,t_bot+1,nalb
bootstrap,run4,100,10000000000,t_bot,ncont
bootstrap,run4,0,10000000000,0,ncont
bootstrap,run5,1000000,60909,1000000,nhist
bootstrap,run5,157675,60909,t_exp+1,nhist
bootstrap,run5,157674,1459851,t_exp,nrec
bootstrap,run5,433,1459851,t_rec+1,nrec
bootstrap,run5,432,3984,t_rec+1,nalb
bootstrap,run5,101,3984,t_bot+1,nalb
bootstrap,run5,100,1393899902,t_bot,ncont
bootstrap,run5,0,1393899902,0,ncont
bootstrap,run6,1000000,58925,1000000,nhist
bootstrap,run6,162188,58925,t_exp+1,nhist
bootstrap,run6,162187,1231388,t_exp,nrec
bootstrap,run6,493,1231388,t_rec+1,nrec
bootstrap,run6,492,5141,t_rec+1,nalb
bootstrap,run6,101,5141,t_bot+1,nalb
bootstrap,run6,100,6120253237,t_bot,ncont
bootstrap,run6,0,6120253237,0,ncont
bootstrap,run7,1000000,69161,1000000,nhist
bootstrap,run7,141676,69161,t_exp+1,nhist
bootstrap,run7,141675,8540500,t_exp,nrec
bootstrap,run7,410,8540500,t_rec+1,nrec
bootstrap,run7,409,2635,t_rec+1,nalb
bootstrap,run7,101,2635,t_bot+1,nalb
bootstrap,run7,100,12666836,t_bot,ncont
bootstrap,run7,0,12666836,0,ncont
bootstrap,run8,1000000,61152,1000000,nhist
bootstrap,run8,89761,61152,t_exp+1,nhist
bootstrap,run8,89760,687676,t_exp,nrec
bootstrap,run8,345,687676,t_rec+1,nrec
bootstrap,run8,344,4711,t_rec+1,nalb
bootstrap,run8,68,4711,t_bot+1,nalb
bootstrap,run8,67,70123,t_bot,ncont
bootstrap,run8,0,70123,0,ncont
bootstrap,run9,1000000,62825,1000000,nhist
bootstrap,run9,154813,62825,t_exp+1,nhist
bootstrap,run9,154812,1064708,t_exp,nrec
bootstrap,run9,501,1064708,t_rec+1,nrec
bootstrap,run9,500,6025,t_rec+1,nalb
bootstrap,run9,98,6025,t_bot+1,nalb
bootstrap,run9,97,31975385,t_bot,ncont
bootstrap,run9,0,31975385,0,ncont
bootstrap,run10,1000000,67693,1000000,nhist
bootstrap,run10,160301,67693,t_exp+1,nhist
bootstrap,run10,160300,1166971,t_exp,nrec
bootstrap,run10,501,1166971,t_rec+1,nrec
bootstrap,run10,500,5209,t_rec+1,nalb
bootstrap,run10,101,5209,t_bot+1,nalb
bootstrap,run10,100,10000000000,t_bot,ncont
bootstrap,run10,0,10000000000,0,ncont
bootstrap,run11,1000000,67187,1000000,nhist
bootstrap,run11,153229,67187,t_exp+1,nhist
bootstrap,run11,153228,1136552,t_exp,nrec
bootstrap,run11,501,1136552,t_rec+1,nrec
bootstrap,run11,500,5594,t_rec+1,nalb
bootstrap,run11,101,5594,t_bot+1,nalb
bootstrap,run11,100,119170159,t_bot,ncont
bootstrap,run11,0,119170159,0,ncont
bootstrap,run12,1000000,68850,1000000,nhist
bootstrap,run12,143989,68850,t_exp+1,nhist
bootstrap,run12,143988,1523547,t_exp,nrec
bootstrap,run12,308,1523547,t_rec+1,nrec
bootstrap,run12,307,2502,t_rec+1,nalb
bootstrap,run12,101,2502,t_bot+1,nalb
bootstrap,run12,100,752799378,t_bot,ncont
bootstrap,run12,0,752799378,0,ncont
bootstrap,run13,1000000,74846,1000000,nhist
bootstrap,run13,141963,74846,t_exp+1,nhist
bootstrap,run13,141962,1972888,t_exp,nrec
bootstrap,run13,501,1972888,t_rec+1,nrec
bootstrap,run13,500,4313,t_rec+1,nalb
bootstrap,run13,101,4313,t_bot+1,nalb
bootstrap,run13,100,10000000000,t_bot,ncont
bootstrap,run13,0,10000000000,0,ncont
bootstrap,run14,1000000,68589,1000000,nhist
bootstrap,run14,146468,68589,t_exp+1,nhist
bootstrap,run14,146467,1955864,t_exp,nrec
bootstrap,run14,496,1955864,t_rec+1,nrec
bootstrap,run14,495,4378,t_rec+1,nalb
bootstrap,run14,101,4378,t_bot+1,nalb
bootstrap,run14,100,3041639633,t_bot,ncont
bootstrap,run14,0,3041639633,0,ncont
bootstrap,run15,1000000,63735,1000000,nhist
bootstrap,run15,162183,63735,t_exp+1,nhist
bootstrap,run15,162182,1035334,t_exp,nrec
bootstrap,run15,264,1035334,t_rec+1,nrec
bootstrap,run15,263,2424,t_rec+1,nalb
bootstrap,run15,101,2424,t_bot+1,nalb
bootstrap,run15,100,10000000000,t_bot,ncont
bootstrap,run15,0,10000000000,0,ncont
bootstrap,run16,1000000,65136,1000000,nhist
bootstrap,run16,151125,65136,t_exp+1,nhist
bootstrap,run16,151124,1310197,t_exp,nrec
bootstrap,run16,422,1310197,t_rec+1,nrec
bootstrap,run16,421,4240,t_rec+1,nalb
bootstrap,run16,101,4240,t_bot+1,nalb
bootstrap,run16,100,10000000000,t_bot,ncont
bootstrap,run16,0,10000000000,0,ncont
bootstrap,run17,1000000,66044,1000000,nhist
bootstrap,run17,149760,66044,t_exp+1,nhist
bootstrap,run17,149759,1699008,t_exp,nrec
bootstrap,run17,501,1699008,t_rec+1,nrec
bootstrap,run17,500,4677,t_rec+1,nalb
bootstrap,run17,101,4677,t_bot+1,nalb
